,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
0,0,76.0,0.0,0.0,1.0,1.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,237.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,34.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,73.0,0.0,1.0,3.0,6.0,141.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,76.0,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,2.0,0.0,0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,99.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0,0.0,0,0.0,4.0,6503.0,1.0,0.0,0.0,0.0,1.0,4000.0,197.0,7.0,0.0,18.0,15.0,0.0,0.0,1.0,0.0,109.0,4.0,44.0,3.0,2.0,0.0,0.0,0.0,0.0,20.0,1233.0,8.0,1319.0,1.0,9.0,246.0,3.0,45.0,0.0,43.0,12.0,1.0,0.0,4.0,148.0,20.0,2.0,1.0,0.0,3.0,0.0,59.0,1.0,274.0,0.0,1.0,1.0,41.0,0.0,4.0,0.0,109.0,0.0,748.0,0.0,5.0,434.0,271.0,52.0,40.0,0.0,11.0,82.0,1.0,0.0,4.0,6.0,145.0,0.0,0.0,0.0,0.0,7.0,58.0,0.0,132.0,503.0,1.0,0.0,10.0,4.0,498.0,8.0,7.0,13.0,738.0,0.0,7.0,1.0,9.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0,139.0,0.0,0.0,0.0,0.0,1.0,97.0,9.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,31.0,9.0,0.0,3.0,2.0,2.0,0.0,30.0,33.0,0.0,4.0,1.0,0.0,6.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,11.0,0.0,81.0,0.0,0.0,21.0,51.0,2.0,8.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,349.0,0.0,5.0,3.0,0.0,0.0,198.0,1.0,2.0,0.0,0.0,1.0,8.0,0.0,8.0,3.0,3.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,94.0,1.0,32.0,15.0,14.0,6503.0,29.0,139.0,0,23.0,11.0,0.0,2.0,91.0,111337.0,4062.0,377.0,5.0,877.0,265.0,14.0,41.0,23.0,97.0,4228.0,243.0,1797.0,7.0,314.0,92.0,52.0,60.0,328.0,482.0,27133.0,211.0,4518.0,218.0,315.0,616.0,796.0,1257.0,0.0,2534.0,381.0,20.0,1054.0,122.0,852.0,713.0,11.0,9.0,90.0,612.0,22.0,103.0,137.0,5555.0,212.0,2533.0,39.0,1374.0,34.0,45.0,26.0,3556.0,2.0,33977.0,130.0,431.0,3440.0,10357.0,2032.0,1719.0,43.0,938.0,3630.0,13.0,1.0,169.0,633.0,701.0,2.0,40.0,4.0,2.0,122.0,1037.0,4.0,2644.0,12526.0,38.0,0.0,137.0,373.0,18160.0,159.0,247.0,877.0,11440.0,3.0,378.0,38.0,460.0,21.0,0.0,3046.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,24.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,1.0,4.0,26.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
