ScenicName	Code	Degrees	BetweenDegrees	ClosedDegrees	Res5	Res6	Res7	Res8	Res9	
千灯	93.0	36.0	0.0029717070409161976	0.5932203389830508	0.0	0.0	0.0	0.0	0.0	
十梓街	94.0	17.0	5.7234432234432234e-06	0.5223880597014925	0.0	0.0	0.0	0.0	0.0	
十全街	95.0	58.0	0.013720914523047646	0.6862745098039216	0.0	0.0	0.0	0.0	0.0	
北寺塔	96.0	34.0	0.01966238374779405	0.5769230769230769	0.0	0.0	0.0	0.0	0.0	
北塔报恩寺	97.0	38.0	0.0017666503234749103	0.5932203389830508	0.0	0.0	0.0	0.0	0.0	
动物园	98.0	27.0	0.0012114810640345586	0.5585106382978723	0.0	0.0	0.0	0.0	0.0	
凤凰街	99.0	49.0	0.004061366249212612	0.6402439024390244	0.0	0.0	0.0	0.0	0.0	
凤凰山	100.0	3.0	1.665001665001665e-05	0.3917910447761194	0.0	0.0	0.0	0.0	0.0	
光福	101.0	25.0	0.00011140329896127248	0.5440414507772021	0.0	0.0	0.0	0.0	0.0	
亭林园	102.0	17.0	0.00016871685566003994	0.5172413793103449	0.0	0.0	0.0	0.0	0.0	
中央公园	103.0	17.0	7.753265671817709e-05	0.5147058823529411	0.0	0.0	0.0	0.0	0.0	
中国花卉	104.0	6.0	6.349855160583906e-05	0.4838709677419355	0.0	0.0	0.0	0.0	0.0	
东渡苑	105.0	1.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	
东山	106.0	44.0	0.013752099441296158	0.6176470588235294	0.0	0.0	0.0	0.0	0.0	
东园	107.0	1.0	0.0	0.4375	0.0	0.0	0.0	0.0	0.0	
上方山	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
城隍庙	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
怡园	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
何山公园	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
盛泽湖	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
张溥故居	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
五谷丰登	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
